证券代码,当前价,RSI(14),连跌天数,1月跌幅%,10日均振幅%,止跌放量,战法建议
511880,100.0922,5.19,0,-1.05,0,否,超卖反弹
508006,3.0809,11.29,0,-16.73,0,否,超卖反弹
563690,1.0037,21.97,2,-1.37,0,否,超卖反弹
560890,1.1844,22.25,2,-1.32,0,否,超卖反弹
511010,140.092,22.29,0,-0.33,0,否,超卖反弹
512890,1.1519,22.66,2,-1.4,0,否,超卖反弹
159525,1.0725,22.73,2,-1.27,0,否,超卖反弹
563020,1.1704,22.87,2,-1.27,0,否,超卖反弹
560150,1.1219,23.23,2,-1.24,0,否,超卖反弹
159547,1.1844,24.64,2,-0.94,0,否,超卖反弹
511130,103.6514,27.99,2,-0.35,0,否,超卖反弹
511090,113.4952,28.55,2,-0.35,0,否,超卖反弹
511260,134.258,28.84,1,-0.45,0,否,超卖反弹
159577,1.4406,30.88,2,0.18,0,否,等待放量
563700,1.0342,31.26,2,-0.66,0,否,等待放量
501085,2.3078,31.27,0,3.85,0,否,等待放量
513850,1.6071,31.38,2,0.22,0,否,等待放量
512700,1.5584,32.08,2,-1.72,0,否,等待放量
159253,0.9501,32.21,2,-1.7,0,否,等待放量
512820,1.397,32.38,2,-1.69,0,否,等待放量
516210,1.3562,32.39,2,-1.65,0,否,等待放量
515290,1.4287,32.4,2,-1.69,0,否,等待放量
512730,1.6325,32.4,2,-1.65,0,否,等待放量
512800,0.7966,32.41,2,-1.67,0,否,等待放量
516310,1.3149,32.47,2,-1.66,0,否,等待放量
515020,1.6915,32.59,2,-1.63,0,否,等待放量
159887,1.298,32.9,2,-1.63,0,否,等待放量
515300,1.2778,33.08,2,-1.02,0,否,等待放量
520580,1.0253,33.23,0,-1.46,0,否,等待放量
511060,106.462,34.7,0,-0.21,0,否,等待放量
515100,1.4224,38.39,3,-7.55,0,否,等待放量
